page,images_on_page,largest_width_ratio,largest_height_ratio,largest_area_ratio,center_dx_ratio,center_dy_ratio,img_px_w,img_px_h,ppi_min_est,flag_too_small,flag_not_centered,flag_low_clarity,capture
159,1,0.5638,0.3201,0.1805,0.099,0.2168,1330,1068,285.3,1,1,0,page-159.png
160,1,0.5638,0.739,0.4166,0.099,0.0463,656,1216,140.7,1,1,0,page-160.png
161,1,0.5638,0.0657,0.0371,0.099,0.0141,2560,422,549.2,1,1,0,page-161.png
162,1,0.5638,0.2848,0.1605,0.099,0.0389,700,500,150.2,1,1,0,page-162.png
163,1,0.5638,0.2848,0.1605,0.099,0.0103,700,500,150.2,1,1,0,page-163.png
164,1,0.5638,0.2848,0.1605,0.099,0.0013,700,500,150.2,1,1,0,page-164.png
166,1,0.5638,0.2848,0.1605,0.099,0.0552,700,500,150.2,1,1,0,page-166.png
167,1,0.5638,0.2848,0.1605,0.099,0.1868,700,500,150.2,1,1,0,page-167.png
169,1,0.5638,0.2848,0.1605,0.099,0.2734,700,500,150.2,1,1,0,page-169.png
172,1,0.5638,0.2848,0.1605,0.099,0.2734,700,500,150.2,1,1,0,page-172.png
173,1,0.5638,0.2848,0.1605,0.099,0.0928,700,500,150.2,1,1,0,page-173.png
174,1,0.5638,0.2848,0.1605,0.099,0.128,700,500,150.2,1,1,0,page-174.png
175,1,0.5638,0.2848,0.1605,0.099,0.25,700,500,150.2,1,1,0,page-175.png
177,1,0.5638,0.6052,0.3412,0.099,0.1132,967,1468,207.4,1,1,0,page-177.png
178,1,0.5638,0.2189,0.1234,0.099,0.3064,1357,745,291.1,1,1,0,page-178.png
179,1,0.5638,0.7198,0.4058,0.099,0.0559,658,1188,141.2,1,1,0,page-179.png
180,1,0.5638,0.0346,0.0195,0.099,0.1609,2635,229,565.3,1,1,0,page-180.png
181,1,0.2912,0.8316,0.2422,0.2354,0.0,384,1551,159.5,1,1,0,page-181.png
184,1,0.5638,0.0849,0.0479,0.099,0.2541,512,109,109.8,1,1,1,page-184.png
217,1,0.5638,0.0488,0.0275,0.099,0.2937,2384,292,511.4,1,1,0,page-217.png
